sq_mt_built,n_rooms,n_bathrooms,has_lift,has_parking,is_exterior,floor,energy_certificate,neighborhood,house_type,rent_price,buy_price
108,3,2,True,True,True,5,unknown,Butarque,flat,979,220072
103,3,2,True,False,True,6,unknown,Butarque,flat,1026,235718
103,3,2,True,True,True,1,unknown,Butarque,flat,1052,245000
143,3,2,True,True,True,0,unknown,Butarque,flat,1094,260000
99,3,2,True,True,True,6,unknown,Butarque,flat,1024,235000
100,3,2,True,True,True,3,unknown,Butarque,flat,1024,235000
176,2,2,True,True,True,6,unknown,Butarque,flat,1108,265000
87,2,2,True,True,True,2,unknown,Butarque,flat,884,190000
106,3,2,True,False,True,4,unknown,Butarque,flat,1084,256115
113,3,2,True,False,True,0,unknown,Butarque,flat,1100,261989
115,3,2,True,False,True,1,unknown,Butarque,flat,1131,273353
129,3,2,True,False,True,7,unknown,Butarque,flat,1194,297621
115,3,2,True,False,True,6,unknown,Butarque,flat,1148,279778
110,2,2,False,False,True,0,unknown,San Andrés,flat,686,135000
90,3,2,True,False,True,2,unknown,Los Ángeles,flat,901,195000
60,2,1,False,False,True,1,bad,Los Rosales,flat,654,126900
80,3,1,False,False,True,0,unknown,San Andrés,flat,725,145000
73,2,1,True,False,True,1,bad,San Andrés,flat,656,127500
122,3,2,True,True,True,0,unknown,San Andrés,flat,847,179000
98,3,2,True,True,True,0,unknown,Butarque,flat,1111,266122
97,3,2,True,True,True,0,unknown,Butarque,flat,1100,261989
111,3,2,True,True,True,7,unknown,Butarque,attic,1194,297621
99,3,2,True,True,True,3,unknown,Butarque,flat,1071,251569
77,3,1,False,False,True,1,unknown,Los Rosales,flat,598,113500
85,3,1,False,False,True,4,unknown,San Andrés,flat,698,138000
90,3,2,True,True,True,2,unknown,Butarque,flat,994,225000
133,2,1,True,True,True,6,good,Los Rosales,flat,1105,264000
60,3,1,False,False,True,2,bad,Los Rosales,flat,531,98260
133,3,3,True,False,True,7,good,Butarque,flat,1135,275000
85,2,1,False,False,True,2,bad,San Andrés,flat,642,124000
59,2,2,True,True,True,3,unknown,Los Ángeles,flat,797,164513
59,2,2,True,True,True,1,unknown,Los Ángeles,flat,796,164416
58,2,2,True,True,True,4,unknown,Los Ángeles,flat,800,165435
79,3,2,True,True,True,1,unknown,Los Ángeles,flat,925,202629
60,2,2,True,True,True,0,unknown,Los Ángeles,flat,796,164242
121,3,2,True,True,True,3,unknown,Los Rosales,flat,1094,260000
126,3,2,True,True,True,2,unknown,San Andrés,flat,1187,294900
134,4,2,True,True,True,1,unknown,San Andrés,flat,1250,319900
111,3,2,True,True,True,1,unknown,San Andrés,flat,1094,259900
122,3,2,True,True,True,2,unknown,San Andrés,flat,1164,285900
125,3,2,True,True,True,1,unknown,San Andrés,flat,1174,289900
102,2,2,True,True,True,1,unknown,San Andrés,flat,1066,249900
104,3,2,True,True,True,1,unknown,Butarque,flat,1131,273352
66,3,1,True,False,True,1,unknown,San Cristóbal,flat,561,104900
95,2,1,False,False,True,2,good,San Andrés,flat,762,155000
74,3,1,False,False,True,1,bad,San Cristóbal,flat,539,100000
97,2,1,True,True,True,0,good,Butarque,flat,948,210000
90,2,2,True,True,True,7,unknown,San Andrés,attic,1038,240000
130,4,2,True,False,True,3,unknown,San Andrés,flat,1086,257000
49,2,1,True,False,True,0,bad,San Andrés,flat,466,84000
151,3,2,True,True,True,6,unknown,Los Rosales,flat,1235,314000
69,3,1,False,False,True,4,unknown,San Cristóbal,flat,570,107000
170,3,2,True,True,True,8,unknown,Butarque,attic,1262,325000
98,3,2,True,True,True,7,unknown,Los Rosales,flat,1161,284900
50,1,1,True,True,True,7,unknown,San Andrés,flat,686,135000
136,3,2,True,True,True,5,unknown,San Andrés,attic,1009,230000
80,3,1,True,False,True,3,unknown,Los Ángeles,flat,791,163000
95,3,1,False,False,True,2,unknown,San Andrés,flat,868,185000
56,3,1,False,False,True,5,unknown,Los Ángeles,flat,289,80000
43,1,1,False,False,True,0,bad,Los Rosales,flat,466,84000
